user_id,session_id,timestamp,event_type,booking_id,check_in_date,check_out_date,hotel_id,item_id,location,num_guests,page_url,payment_method,price,room_type,total_price
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:13:03.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:14:29.319491,search_hotels,,2026-01-13,2026-01-18,,,Tokyo,1,,,,,
user_00805,session_user_00805_002_2b00fc,2025-05-17T14:15:16.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00254,session_user_00254_001_468b93,2025-05-17T14:20:02.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:22:43.319491,add_to_cart,,2026-01-13,2026-01-18,HOTEL_0213,82736368-9b80-4df6-8b35-b8c6d049825f,Tokyo,,https://hotelbooking.example.com/cart,,157.7,Deluxe,
user_00254,session_user_00254_001_468b93,2025-05-17T14:23:32.319491,search_hotels,,2026-02-08,2026-02-09,,,Sydney,1,,,,,
user_00805,session_user_00805_002_2b00fc,2025-05-17T14:24:27.319491,search_hotels,,2025-10-25,2025-10-28,,,Dubai,3,,,,,
user_00254,session_user_00254_001_468b93,2025-05-17T14:25:03.319491,add_to_cart,,2026-02-08,2026-02-09,HOTEL_0380,a19e5034-5682-4ef9-900f-8ee3e573434e,Sydney,,https://hotelbooking.example.com/cart,,95.59,Family Room,
user_00805,session_user_00805_002_2b00fc,2025-05-17T14:25:08.319491,view_hotel_details,,,,HOTEL_0182,,,,https://hotelbooking.example.com/hotel/HOTEL_0182,,,,
user_00805,session_user_00805_002_2b00fc,2025-05-17T14:25:33.319491,view_hotel_details,,,,HOTEL_0314,,,,https://hotelbooking.example.com/hotel/HOTEL_0314,,,,
user_00562,session_user_00562_001_d57b6b,2025-05-17T14:26:33.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:27:13.319491,view_cart,,,,,,,,https://hotelbooking.example.com/cart,,,,
user_00413,session_user_00413_005_9e73b9,2025-05-17T14:28:11.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00839,session_user_00839_001_10a8c7,2025-05-17T14:28:51.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00413,session_user_00413_005_9e73b9,2025-05-17T14:32:01.319491,search_hotels,,2025-08-18,2025-08-19,,,London,3,,,,,
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:32:27.319491,start_checkout,,,,,,,,https://hotelbooking.example.com/checkout,,,,
user_00413,session_user_00413_005_9e73b9,2025-05-17T14:33:16.319491,view_hotel_details,,,,HOTEL_0048,,,,https://hotelbooking.example.com/hotel/HOTEL_0048,,,,
user_00805,session_user_00805_002_2b00fc,2025-05-17T14:33:29.319491,logout,,,,,,,,https://hotelbooking.example.com/logout,,,,
user_00254,session_user_00254_001_468b93,2025-05-17T14:34:33.319491,view_cart,,,,,,,,https://hotelbooking.example.com/cart,,,,
user_00562,session_user_00562_001_d57b6b,2025-05-17T14:34:52.319491,search_hotels,,2025-09-07,2025-09-19,,,Dubai,2,,,,,
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:35:31.319491,add_payment_info,,,,,,,,https://hotelbooking.example.com/checkout/payment,credit_card,,,
user_00562,session_user_00562_001_d57b6b,2025-05-17T14:35:37.319491,view_hotel_details,,,,HOTEL_0145,,,,https://hotelbooking.example.com/hotel/HOTEL_0145,,,,
user_00108,session_user_00108_002_c6cf06,2025-05-17T14:35:57.319491,complete_booking,652d3bb1-c24c-4cc1-8cdd-d1a9201b0318,2026-01-13,2026-01-18,,,Tokyo,,https://hotelbooking.example.com/booking/confirmation/652d3bb1-c24c-4cc1-8cdd-d1a9201b0318,,,,365.27
user_00839,session_user_00839_001_10a8c7,2025-05-17T14:35:59.319491,search_hotels,,2025-12-17,2025-12-19,,,Paris,1,,,,,
user_00630,session_user_00630_003_0c5cb0,2025-05-17T14:36:55.319491,page_view,,,,,,,,https://hotelbooking.example.com/,,,,
user_00562,session_user_00562_001_d57b6b,2025-05-17T14:37:21.319491,view_hotel_details,,,,HOTEL_0291,,,,https://hotelbooking.example.com/hotel/HOTEL_0291,,,,
user_00839,session_user_00839_001_10a8c7,2025-05-17T14:37:27.319491,view_hotel_details,,,,HOTEL_0010,,,,https://hotelbooking.example.com/hotel/HOTEL_0010,,,,
user_00562,session_user_00562_001_d57b6b,2025-05-17T14:37:46.319491,view_hotel_details,,,,HOTEL_0092,,,,https://hotelbooking.example.com/hotel/HOTEL_0092,,,,
user_00839,session_user_00839_001_10a8c7,2025-05-17T14:37:54.319491,view_hotel_details,,,,HOTEL_0190,,,,https://hotelbooking.example.com/hotel/HOTEL_0190,,,,
